GSSCode,fullName,shortName,longitude,latitude,gridCol,gridRow
E09000021,Kingston upon Thames,Kng,-0.2869147,51.3878934,3,6
E09000008,Croydon,Crd,-0.0871655,51.3553174,5,6
E09000006,Bromley,Brm,0.0515366,51.371984,6,6
E09000018,Hounslow,Hns,-0.3671516,51.4683805,1,4
E09000009,Ealing,Elg,-0.3310193,51.5224761,2,3
E09000016,Havering,Hvg,0.221117,51.5643681,8,3
E09000017,Hillingdon,Hdn,-0.4456619,51.5414712,1,3
E09000015,Harrow,Hrw,-0.3412746,51.5977185,3,2
E09000005,Brent,Brt,-0.2678117,51.5585544,3,3
E09000003,Barnet,Brn,-0.2100179,51.6160184,4,2
E09000022,Lambeth,Lam,-0.1182788,51.4530792,4,5
E09000028,Southwark,Swr,-0.0746025,51.4731374,5,5
E09000023,Lewisham,Lsh,-0.0202512,51.4480862,6,5
E09000011,Greenwich,Grn,0.0562385,51.4728035,7,5
E09000004,Bexley,Bxl,0.1403452,51.4588106,8,5
E09000010,Enfield,Enf,-0.0872653,51.6509919,5,1
E09000031,Waltham Forest,Wth,-0.0126454,51.5940218,6,2
E09000026,Redbridge,Rdb,0.075865,51.5856698,7,3
E09000029,Sutton,Stn,-0.1775706,51.3620888,4,7
E09000027,Richmond upon Thames,Rch,-0.3129899,51.4421709,2,5
E09000024,Merton,Mrt,-0.1972469,51.4099498,4,6
E09000032,Wandsworth,Wns,-0.1864426,51.4513537,3,5
E09000013,Hammersmith and Fulham,Hms,-0.223125,51.4976035,2,4
E09000020,Kensington and Chelsea,Kns,-0.1926146,51.5032686,3,4
E09000033,Westminster,Wst,-0.1612971,51.5138977,4,4
E09000007,Camden,Cmd,-0.1574152,51.5463925,4,3
E09000030,Tower Hamlets,Tow,-0.032468,51.5150561,6,4
E09000019,Islington,Isl,-0.1074466,51.5455039,5,3
E09000012,Hackney,Hck,-0.0656452,51.5497653,6,3
E09000014,Haringey,Hgy,-0.1074732,51.5903739,5,2
E09000025,Newham,Nwm,0.0363853,51.5283428,7,4
E09000002,Barking and Dagenham,Bar,0.1335219,51.5452723,8,4
E09000001,City of London,Cty,-0.0923237,51.5152901,5,4