properties.HBName,row,col,x,y
Ayrshire and Arran,3,0,-4.533195969828372,55.43405097568195
Borders,3,3,-2.788280642892211,55.577211364347896
Dumfries and Galloway,3,1,-3.9577534834696073,55.07070088768525
Forth Valley,2,1,-4.241360064841146,56.20985920843515
Grampian,1,3,-2.781419074984438,57.29970295107288
Highland,1,1,-4.736750309399299,57.36251267013822
Lothian,2,3,-3.0965069748354317,55.904157667384446
Orkney,0,2,-3.0954310807870007,58.988708382656384
Shetland,0,3,-1.2959875194372448,60.373405853365604
Western Isles,0,0,-6.66051588283261,58.13122195832054
Fife,2,2,-3.1245596290525035,56.228581298903485
Tayside,1,2,-3.5561156730431027,56.610129045886204
Greater Glasgow and Clyde,2,0,-4.450026696860365,55.881716907986636
Lanarkshire,3,2,-3.8404656685886582,55.669733580809