properties.LAName,x,y
Clackmannanshire,-3.7585549336344495,56.1433618241218
Dundee City,-2.9647147136047645,56.476352306528
East Dunbartonshire,-4.2227153191347115,55.95517731742394
East Renfrewshire,-4.366283660385748,55.75786096772794
Falkirk,-3.790778160259315,55.997474731330946
Midlothian,-3.115015029554142,55.832703593330315
Scottish Borders,-2.7866399034856344,55.57649407957776
South Lanarkshire,-3.807955085957981,55.61530433653076
Stirling,-4.3414428521709105,56.24258958062461
West Dunbartonshire,-4.517316056178417,55.98458962099245
West Lothian,-3.573480321459858,55.88700496916101
Moray,-3.2669361252191536,57.47500755407592
Aberdeenshire,-2.628283687881539,57.241265609274876
Aberdeen City,-2.1646838905571983,57.1632946447419
City of Edinburgh,-3.2872272076024402,55.92734751360128
East Lothian,-2.71914240490062,55.93952227005534
Fife,-3.124917358397661,56.229307519541585
Shetland Islands,-1.2970282830886153,60.37670379672132
Orkney Islands,-3.106655187949445,58.9968186937357
Angus,-2.9146954667012857,56.722431928810046
Eilean Siar,-6.6609764643428875,58.13176679293485
Highland,-4.652735802896564,57.59564566092991
Perth and Kinross,-3.8217121034696486,56.56437830728595
East Ayrshire,-4.311479397866136,55.48898080841543
Inverclyde,-4.741957871540677,55.904183446669165
Renfrewshire,-4.539036787744105,55.846265504257964
Glasgow City,-4.25240167786557,55.86199121822529
North Lanarkshire,-3.9488618760341674,55.8749302542391
Dumfries and Galloway,-3.9579163391968097,55.07146720576027
South Ayrshire,-4.69220004624579,55.26571969825822
North Ayrshire,-4.732707715727892,55.723947786089674
Argyll and Bute,-5.210677773727459,56.08148962872103