id,year,title,artist,theme,spotifyUrl
584,1980,Love Will Tear Us Apart,Joy Division,Heartbreak,http://open.spotify.com/track/2JO3HwMRPeya8bXbtbyPcf
585,1980,Army Dreamers,Kate Bush,Politics and protest,http://open.spotify.com/track/2duFyIqY9RHzOMruitwPkq
586,1980,Is It All Over My Face,Loose Joints,Party songs,
587,1980,On the Blanket,Mick Hanly with Christy Moore,Politics and protest,
588,1980,Shake Your Tailfeather,Ray Charles,Party songs,
589,1980,Master Blaster (Jammin),Stevie Wonder,People and places,http://open.spotify.com/track/3Q5K3AUwRshY9TSXxRk3IW
590,1980,Once in a Lifetime,Talking Heads,Life and death,http://open.spotify.com/track/7CIYGsVYYqUyNnwmU2bc32
591,1980,Stand Down Margaret,The Beat,Politics and protest,http://open.spotify.com/track/3Yhr8WrFPnwBFwxhFLUwzh
592,1980,Drug Train,The Cramps,Party songs,http://open.spotify.com/track/4a61QVxWahKxq40GtkcS3x
593,1980,Going Underground,The Jam,Politics and protest,http://open.spotify.com/track/0hhikHUpfUlMBRD2gSf0mu
594,1980,My Perfect Cousin,The Undertones,People and places,http://open.spotify.com/track/2YGzQWJGukgL3eXslK1okj
595,1980,Turning Japanese,The Vapors,Sex,http://open.spotify.com/track/30cHDhxUqgnHq78hv5UjMx
596,1980,Ruby’s Arms,Tom Waits,Heartbreak,http://open.spotify.com/track/0YUvSNoGzYp67QjLOmzVnW
597,1980,On the Road Again,Willie Nelson,People and places,http://open.spotify.com/track/3c4gb10sLoDr3OCoLIKRqm
598,1981,Tears Are Not Enough,ABC,Heartbreak,http://open.spotify.com/track/1DsmvwImEiDU0tLMOvOJZD
599,1981,Come Again,Au Pairs,Sex,
600,1981,Guilty,Barbra Streisand and Barry Gibb,Sex,http://open.spotify.com/track/60mGckXEG1EzR4VmjYLfEW
601,1981,Every Grain of Sand,Bob Dylan,Life and death,
602,1981,Cruisin’ the Streets,Boys Town Gang,Sex,
603,1981,Weekend,Class Action,Party songs,
604,1981,Just Can’t Get Enough,Depeche Mode,Party songs,http://open.spotify.com/track/4DAEaxpxKJy0Hq5mAiEnOO
605,1981,Nightclubbing,Grace Jones,Party songs,http://open.spotify.com/track/26aTdkjT06bukXYdJRuhtN
606,1981,Pull Up to the Bumper,Grace Jones,Sex,http://open.spotify.com/track/3nkuemN1DlyHYZCk5eZYLn
607,1981,Let’s Start II Dance Again,Hamilton Bohannon,Party songs,
608,1981,(We Don’t Need) This Fascist Groove Thang,Heaven 17,Politics and protest,http://open.spotify.com/track/05cKish3faAXVGK3B4wcwl
609,1981,Numbers/Computer World 2,Kraftwerk,Party songs,http://open.spotify.com/track/3WgqXxHygR2HMVDjwhy3rS
610,1981,Big City,Merle Haggard,People and places,http://open.spotify.com/track/2a57riblxsqxe1lV33JDTf
611,1981,Papa’s Got a Brand New Pigbag,Pigbag,Party songs,http://open.spotify.com/track/1t1kkvAe1iP5Xa6vCv3j9Z
612,1981,Back to My Roots,Richie Havens,Party songs,http://open.spotify.com/track/6PFsub5iIJwrBb8qBRqmiV
613,1981,Super Freak,Rick James,Sex,http://open.spotify.com/track/00FCfK15gIqylm8xeO4pjx
614,1981,Leave the Capitol,The Fall,People and places,
615,1981,Don’t You Want Me?,The Human League,Heartbreak,http://open.spotify.com/track/5lmYpa6EaVAKAlwxMf7q5c
616,1981,Ghost Town,The Specials,Politics and protest,http://open.spotify.com/track/7iOA86nwA7RF3GwMa93H0v
617,1982,The Look of Love,ABC,Love,http://open.spotify.com/track/78j3qTBdzcIiT3eS7XymoD
618,1982,Gun Shot,Anthony Johnson,Life and death,http://open.spotify.com/track/2H6mTlLxYjy4rMh2Rblvs5
619,1982,Jimmy Jimmy Aaja,Bappi Lahiri/Parvati Khan,Party songs,http://open.spotify.com/track/4I0v1IDuMR868pgT7y5PPM
620,1982,Come On Eileen,Dexys Midnight Runners,Sex,http://open.spotify.com/track/7L1h8TN56ynoes6aZ4kNs2
621,1982,The Message,Grandmaster Flash and the Furious Five,Politics and protest,http://open.spotify.com/track/5DuTNKFEjJIySAyJH1yNDU
622,1982,Night Nurse,Gregory Isaacs,Love,http://open.spotify.com/track/2lPfcRMRLffiBTwLA9S8Vc
623,1982,Last Night a DJ Saved My Life,Indeep,Party songs,
624,1982,I Love Rock’n’Roll,Joan Jett and the Blackhearts,Party songs,
625,1982,"Annie, I’m Not Your Daddy",Kid Creole and the Coconuts,Life and death,http://open.spotify.com/track/5paJLghWSGmEf6sY7LeYel
626,1982,Everybody,Madonna,Party songs,http://open.spotify.com/track/3i6PtDe9qmRDBEdSSpouBB
627,1982,Sexual Healing,Marvin Gaye,Sex,http://open.spotify.com/track/6PctvwtmRSIwmTc4HtBzJT
628,1982,Shipbuilding,Robert Wyatt,Politics and protest,
629,1982,Memorabilia,Soft Cell,Party songs,http://open.spotify.com/track/6nePlBdKTESydzjOEHt6vX
630,1982,Should I Stay Or Should I Go,The Clash,Heartbreak,http://open.spotify.com/track/0uwXVXNfzPJtpv3iCBAgDD
631,1982,Straight to Hell,The Clash,Politics and protest,http://open.spotify.com/track/7mjrA5T6KQ4sb0qSgUu5nJ
632,1982,Passion,The Flirts,Sex,
633,1982,Iron Maiden,The Number of the Beast,Life and death,http://open.spotify.com/track/7gs3FWszkPUxBogi7oyt1y
634,1982,Wham Rap! (Enjoy What You Do),Wham!,Politics and protest,http://open.spotify.com/track/0kA7p1R4Cx6CMpUG4tPKfI
635,1983,Girls Just Want to Have Fun,Cyndi Lauper,Party songs,http://open.spotify.com/track/7sMGwiS4vOMcz86ZY3vKYM
636,1983,Let’s Dance,David Bowie,Party songs,http://open.spotify.com/track/2nIuUXnHHzS3wymUhJdVa8
637,1983,I Guess That’s Why They Call it the Blues,Elton John,Heartbreak,http://open.spotify.com/track/4mno8GjYUVPW8rNgJsWLx6
638,1983,Who’s That Girl?,Eurythmics,Sex,http://open.spotify.com/track/0qO7FkKWdHPc1Si1Z2nLZm
639,1983,Relax,Frankie Goes to Hollywood,Sex,
640,1983,White Lines (Don’t Do It),Grandmaster Melle Mel,Party songs,
641,1983,Rokit,Herbie Hancock,Party songs,
642,1983,Flashdance,Irene Cara,Party songs,http://open.spotify.com/track/4H1wVutCHT8Pncz6jWjVrg
643,1983,All Night Long (All Night),Lionel Richie,Party songs,http://open.spotify.com/track/7HcIV2tSBj8O8RtGed2ViS
644,1983,Holiday,Madonna,Party songs,http://open.spotify.com/track/2T8cZAwbhrTVjGwZo5c7sK
645,1983,Buffalo Gals,Malcolm McLaren,Party songs,http://open.spotify.com/track/4gCo2r1gCEw70OAq9cF1uW
646,1983,Blue Monday,New Order,Heartbreak,http://open.spotify.com/track/6cxLRWPZQ6dmb0lJ5Ph8Tu
647,1983,The Late Great Johnny Ace,Paul Simon,People and places,http://open.spotify.com/track/5ach2WWI5RD1FOjDArNlRh
648,1983,1999,Prince,Party songs,http://open.spotify.com/track/4CEKJRYtYDp0GPzw9JGZYX
649,1983,Little Red Corvette,Prince,Sex,http://open.spotify.com/track/5sjTUwMJeAzGSCmpYJzgd4
650,1983,I Love LA,Randy Newman,People and places,
651,1983,Chicago,Roy Ayers,People and places,http://open.spotify.com/track/6mWaJR3Wz8XcujkKd48oy6
652,1983,Let the Music Play,Shannon,Party songs,http://open.spotify.com/track/5RgGHpa9S3txqJTxyRChx4
653,1983,Between the Sheets,The Isley Brothers,Sex,http://open.spotify.com/track/0RBg0YkVr7B6PGgK13PUhw
654,1983,Every Breath You Take,The Police,Heartbreak,http://open.spotify.com/track/0A4Btqar6Y5B4hfs9pZnSE
655,1983,This Is the Day,The The,Life and death,http://open.spotify.com/track/5O7RVmqK3AYoFfyeafxOqH
656,1983,In the Neighbourhood,Tom Waits,People and places,
657,1983,"Johnsburg, Illinois",Tom Waits,People and places,http://open.spotify.com/track/1Opgvak0Qc2kyLVLFbuu1V
658,1983,Sunday Bloody Sunday,U2,Politics and protest,http://open.spotify.com/track/7JLEWweiny60arxyKTKIwl
659,1983,Break Dance – Electric Boogie,West Street Mob,Party songs,
661,1984,Smalltown Boy,Bronski Beat,Politics and protest,http://open.spotify.com/track/1nz1xzqPN4xYZtR4zgiLxt
662,1984,Born in the USA,Bruce Springsteen,Politics and protest,http://open.spotify.com/track/36b2xkXNJKRCWeUrsC3jyQ
663,1984,No Surrender,Bruce Springsteen,Life and death,http://open.spotify.com/track/5eMjyo7t0lAl5PobsAqSe2
664,1984,The Killing Moon,Echo and the Bunnymen,Heartbreak,http://open.spotify.com/track/15049rGLXHwrWtE4euUb5C
665,1984,The Power of Love,Frankie Goes to Hollywood,Love,http://open.spotify.com/track/2CUoxqW5bw2WOZPExmFvk1
666,1984,Two Tribes,Frankie Goes To Hollywood,Politics and protest,
667,1984,Din Daa Daa,George Kranz,Party songs,
668,1984,Self Control,Laura Branigan,Party songs,http://open.spotify.com/track/4bpHayutj5AejSwtEpyvUR
669,1984,Fade to Black,Metallica,Life and death,
670,1984,Against All Odds (Take a Look at Me Now),Phil Collins,Heartbreak,http://open.spotify.com/track/5b6vClAj7N7VFLXEso3hEY
671,1984,Let’s Go Crazy,Prince,Party songs,http://open.spotify.com/track/7050AA1cNN8s3482pgx2bO
672,1984,When Doves Cry,Prince,Heartbreak,http://open.spotify.com/track/5OLaGD9QaSn2pRmBr6hYqb
673,1984,Darling Nikki,Prince and the Revolution,Sex,http://open.spotify.com/track/7bBT7pJXCyH5i7Y3AaiUNW
674,1984,Shout,Tears for Fears,Party songs,http://open.spotify.com/track/4E1n2cvH7Wb7xZ568rHHNy
675,1984,Drive,The Cars,People and places,http://open.spotify.com/track/2KjYhaRlB5NtCJ0JotvJhZ
676,1984,Streams of Whiskey,The Pogues,Party songs,http://open.spotify.com/track/4ftQUqPjuk4KtAIHqqYzmN
677,1984,Jump (For My Love),The Pointer Sisters,Party songs,http://open.spotify.com/track/59K6GctkD8lWljFYa8eE6D
678,1984,"Please, Please, Please Let Me Get What I Want",The Smiths,Heartbreak,
679,1984,Reel Around the Fountain,The Smiths,Sex,
680,1984,Free Nelson Mandela,The Special AKA,Politics and protest,http://open.spotify.com/track/57mY4qUaUegA3jvoyoz7oT
681,1984,Stop Bajon (Primavera),Tullio De Piscopo,Party songs,http://open.spotify.com/track/1JcmMYyRAbj00Q90oHBsBr
682,1985,Here I Come,Barrington Levy,Life and death,http://open.spotify.com/track/4oKntjpTrsvHoQSCv6SxPV
683,1985,Between the Wars,Billy Bragg,Politics and protest,
684,1985,I’m On Fire,Bruce Springsteen,Sex,http://open.spotify.com/track/0BDQUifzYaoHojBcnqwH7U
685,1985,Víctor Jara of Chile,Dick Gaughan,Politics and protest,
686,1985,We Care a Lot,Faith No More,Politics and protest,http://open.spotify.com/track/2bg3JPk02VNXWxEnrWHbSL
687,1985,Hounds of Love,Kate Bush,Love,
688,1985,Crazy For You,Madonna,Heartbreak,http://open.spotify.com/track/6idFcUh2Gc8wdtwuR0sfFN
689,1985,Material Girl,Madonna,Politics and protest,http://open.spotify.com/track/37HSCAcjOpQ31XRoeMCa60
690,1985,19,Paul Hardcastle,Politics and protest,http://open.spotify.com/track/1xZchmfxPkalmqr9i0E138
691,1985,West End Girls,Pet Shop Boys,People and places,http://open.spotify.com/track/5Dqik1P9toCJTLj5rEm78s
692,1985,Dirty Old Town,The Pogues,People and places,http://open.spotify.com/track/7IMYW63MR1U33kX7LOecPl
693,1985,Rainy Night in Soho,The Pogues,People and places,http://open.spotify.com/track/6vSHxP7R5Ml9zqyO2JM5v9
694,1985,How Soon Is Now?,The Smiths,Party songs,
695,1985,We Are the World,USA for Africa,Politics and protest,
696,1985,(Under Mi) Sleng Teng,Wayne Smith,Party songs,http://open.spotify.com/track/3l9oTzHXnAJcg4x2jU6DvX
697,1985,How Will I Know,Whitney Houston,Love,http://open.spotify.com/track/0xd9xioBzvbJ0KsqFUE1ob
698,1985,Saving All My Love for You,Whitney Houston,Sex,http://open.spotify.com/track/0659KEGBXXfDy2pbCtZ9Wd
699,1985,Asbestos Lead Asbestos,World Domination Enterprises,Politics and protest,
700,1986,Levi Stubbs’ Tears,Billy Bragg,People and places,
701,1986,Just Say No,Cast of Grange Hill,Politics and protest,
702,1986,I Hope You’re Happy Now,Elvis Costello and the Attractions,Heartbreak,http://open.spotify.com/track/0lJeIRRrwRmnkRWpjai96c
704,1986,I Want You,Elvis Costello and the Attractions,Sex,http://open.spotify.com/track/4LBnvKaSC9RqnFYA0LDIGt
705,1986,Jack of All Parades,Elvis Costello and the Attractions,Love,
706,1986,All I Want for Christmas Is a Dukla Prague Away Kit,Half Man Half Biscuit,Party songs,
707,1986,Give Me the Reason,Luther Vandross,Heartbreak,http://open.spotify.com/track/54yoy5MG6SVPB5wdneXAW7
708,1986,Bizarre Love Triangle,New Order,Sex,http://open.spotify.com/track/3IZYwVzsjbyw4QxbDmR3Sf
709,1986,Black Eyed Dog,Nick Drake,Life and death,http://open.spotify.com/track/5QU5nNPIPvNS0NtWLNfcuO
710,1986,Graceland,Paul Simon,People and places,http://open.spotify.com/track/0aeaKHM4KCULhqKk4QZzjT
711,1986,Sledgehammer,Peter Gabriel,Sex,
712,1986,Kiss,Prince and the Revolution,Sex,http://open.spotify.com/track/1XoOSVy4rHDyd6u8XbZ0s5
713,1986,Fall On Me ,REM,Politics and protest,http://open.spotify.com/track/3HiNG3o66L2FbsM8Y7Sg6D
714,1986,Don’t Leave Me This Way,The Communards,Heartbreak,http://open.spotify.com/track/6G27JoyRv8Ly085NkPIRWB
715,1986,I Know It’s Over,The Smiths,Heartbreak,
716,1986,There is a Light That Never Goes Out,The Smiths,Love,
717,1987,(You Gotta) Fight for Your Right (To Party),Beastie Boys,Party songs,http://open.spotify.com/track/47jYDzCytZHNQkCEfs8Dgf
718,1987,Someday,Ce Ce Rogers,Party songs,
719,1987,Pour Some Sugar on Me,Def Leppard,Love,
720,1987,I Want Your Sex,George Michael,Sex,http://open.spotify.com/track/4g4UjSFx9QCTt2mqJwr4fW
721,1987,Sweet Child O’ Mine,Guns N’ Roses,Love,http://open.spotify.com/track/5HzLcjDzlykkKC0rw2R6WJ
722,1987,These Important Years,Hüsker Dü,Life and death,http://open.spotify.com/track/3a70lhNaUyjEFp8LKlMpxU
723,1987,Baby Wants to Ride,Jamie Principle,Sex,
724,1987,True Faith,New Order,Party songs,http://open.spotify.com/track/1n8WaWEUZx3GeknGwh02DC
725,1987,King’s Cross,Pet Shop Boys,People and places,
726,1987,Acid Tracks,Phuture,Party songs,
727,1987,If I Was Your Girlfriend,Prince,Sex,http://open.spotify.com/track/6K3bHdKpYnFsWf0TpoEm1E
728,1987,Sign o’ the Times,Prince,Politics and protest,http://open.spotify.com/track/4Yenz5JZZOUiZSeyKY8bDz
729,1987,Bring the Noise,Public Enemy,Politics and protest,http://open.spotify.com/track/7Lc8L0BZVmxKT57OhQQesA
730,1987,The One I Love,REM,Heartbreak,http://open.spotify.com/track/3k5BXtsudQFynAlzYIzCgF
731,1987,Nude Photo,Rhythim Is Rhythim,Sex,
732,1987,Snowin’ on Raton,Townes Van Zandt,People and places,
733,1987,Exit,U2,Life and death,http://open.spotify.com/track/7EyUsCwlxmxIib6CWWSo76
734,1987,With Or Without You,U2,Heartbreak,http://open.spotify.com/track/2JZfTvWWtpaE8NohqRXqFr
735,1988,Death Is Not the End,Bob Dylan,Life and death,
736,1988,Stop the Violence,Boogie Down Productions,Politics and protest,
737,1988,Talking With Myself,Electribe 101,Party songs,http://open.spotify.com/track/3f51nzhw9mL1iUUYehPYCg
738,1988,Good Life,Inner City,Life and death,http://open.spotify.com/track/5sJiLlgQKBL81QCTOkoLB5
739,1988,Telephone Love,JC Lodge,Sex,http://open.spotify.com/track/3cWpbffv5WFX2g5n99L1th
740,1988,First We Take Manhattan,Leonard Cohen,People and places,http://open.spotify.com/track/6C7z72JkQtC08oKYLsz791
741,1988,Company Policy,Martin Carthy,Politics and protest,
742,1988,To Cry About,Mary Margaret O’Hara,Heartbreak,
743,1988,Deanna,Nick Cave and the Bad Seeds,Love,http://open.spotify.com/track/0XWoG02DaQES7ATCrbjx8D
744,1988,The Mercy Seat,Nick Cave and the Bad Seeds,Life and death,http://open.spotify.com/track/7i4motUtsM4VFIH5XEPJRR
745,1988,Fuck tha Police,NWA,Politics and protest,http://open.spotify.com/track/5Fdj7YRwgfP6HcIK0e8NP1
746,1988,Gigantic,Pixies,Sex,http://open.spotify.com/track/2WajMsuB3N7cv5SF12NJeX
747,1988,Christine,The House of Love,Heartbreak,
748,1988,Streets of Sorrow/Birmingham Six,The Pogues,Politics and protest,http://open.spotify.com/track/2k4Gltjyhvfe9yCHN99tyD
749,1988,Desire,U2,Sex,http://open.spotify.com/track/3caWBz55YTpETVOJvHBI6C
750,1989,Pacific State,808 State,Party songs,
751,1989,Love in an Elevator,Aerosmith,Sex,http://open.spotify.com/track/1SDr4rc6YRpaLDkJURW3sY
752,1989,Personal Jesus,Depeche Mode,Life and death,http://open.spotify.com/track/70CZdyut5PuhQWgf1lkGXX
753,1989,Tramp the Dirt Down,Elvis Costello,Politics and protest,http://open.spotify.com/track/2pvGHaskdT2ZrKlXCVr03g
754,1989,WFL (Think About the Future) ,Happy Mondays,Party songs,http://open.spotify.com/track/3xI5fXGrMMvn8EZIdYxW56
755,1989,Cher,If I Could Turn Back Time,Life and death,http://open.spotify.com/track/0A8HK5hV5SgywiKKrBPKDU
756,1989,"Don’t Come the Cowboy With Me, Sonny Jim!",Kirsty MacColl,Sex,http://open.spotify.com/track/2K0gFbHUwMJqXNfm7fJnRg
757,1989,French Kiss,Lil’ Louis,Sex,
758,1989,Rockin’ in the Free World,Neil Young,Politics and protest,http://open.spotify.com/track/66DoazlvE7LmUT47pfLQam
759,1989,Monkey Gone to Heaven,Pixies,Politics and protest,http://open.spotify.com/track/2VX2QRAGKPyqMZU8cFZ3Ib
760,1989,Fight the Power,Public Enemy,Politics and protest,http://open.spotify.com/track/3WsrkrLMD8vWmz5RyD6n9e
761,1989,Revolution,Spacemen 3,Politics and protest,
762,1989,Sueño Latino,Sueño Latino,Party songs,
763,1989,Love Shack,The B-52’s,Party songs,http://open.spotify.com/track/0OyTSpN4gGPSIDuGbKzMEu
764,1989,Song for Whoever,The Beautiful South,Love,http://open.spotify.com/track/7k00fu054zyIgHEpkq5rBL
765,1989,Disintegration,The Cure,Heartbreak,http://open.spotify.com/track/65QOLZaDsPoJp6nDi7Ln4l
766,1989,She Bangs the Drums,The Stone Roses,Love,http://open.spotify.com/track/5b6sFRZWMfcunej0zWE28r
767,1989,Wild Thing,Tone Loc,Sex,http://open.spotify.com/track/14xYQ6TjnKfEeAGl4C38oq
768,1989,Coney Island,Van Morrison,People and places,http://open.spotify.com/track/51uJPonFb6B4bjVXXIb6oR
769,1990,Some Things Last a Long Time,Daniel Johnston,Heartbreak,
770,1990,Groove Is in the Heart,Deee-Lite,Party songs,http://open.spotify.com/track/2UVLuddklEVak5PXgC7baA
771,1990,Bob’s Yer Uncle,Happy Mondays,Sex,http://open.spotify.com/track/7p9Dw7RS1uTJubzRGRGHLV
772,1990,Dead Homiez,Ice Cube,Life and death,http://open.spotify.com/track/69lcL9wMsC5TX0gtSZxX8h
773,1990,Work,John Cale and Lou Reed,Life and death,
774,1990,LFO,LFO,Party songs,
775,1990,Justify My Love,Madonna,Sex,http://open.spotify.com/track/5pIYRfMMlLw7NXg1ey8bRA
776,1990,Come Together,Primal Scream,Politics and protest,http://open.spotify.com/track/47VwP5BLMrkHLNX7Dx4f8L
777,1990,Let’s Talk About Sex,Salt-n-Pepa,Sex,
778,1990,Nothing Compares 2 U,Sinead O’Connor,Heartbreak,http://open.spotify.com/track/07iHAswcApphvyllRDQrEa
779,1991,Blind Willie McTell,Bob Dylan,People and places,http://open.spotify.com/track/2HT5jSAGQtNJ6nM8dhvrng
780,1991,I Touch Myself,Divinyls,Sex,http://open.spotify.com/track/6oNvmplQGUkmAh441Teows
781,1991,Mind Playing Tricks On Me,Geto Boys,Life and death,
782,1991,Safe from Harm,Massive Attack,Life and death,http://open.spotify.com/track/0Nj4Fadx3sCE0QtBvHKDhM
783,1991,OPP,Naughty by Nature,Sex,http://open.spotify.com/track/70zkTsvURu74HmCrEja7e4
784,1991,Lithium,Nirvana,Life and death,http://open.spotify.com/track/2DrEeo4eMULdAVe1U7P9PB
785,1991,Satan,Orbital,Life and death,
786,1991,Loaded,Primal Scream,Party songs,http://open.spotify.com/track/5uWCPq3jVOuiun7Uku3wiU
787,1991,Television: The Drug of the Nation,The Disposable Heroes of Hiphoprisy,Politics and protest,http://open.spotify.com/track/4ktMrTwZD42cZThzZlHcgT
788,1991,Where Were You,Vic Chesnutt,Heartbreak,
789,1992,Cop Killer,Body Count,Politics and protest,
790,1992,Jump Around,House of Pain,Party songs,http://open.spotify.com/track/2oTDOIAdsxPTE7yAp4YOcv
791,1992,Constant Craving,KD Lang,Love,http://open.spotify.com/track/77NdXr1ANwNkMEtgBNS2ZD
792,1992,Babies,Pulp,Sex,http://open.spotify.com/track/2g958u66qASAxbzoO5Vva3
