pclass,survived,sex,age
1,1,female,29
1,1,male,0.9167
1,0,female,2
1,0,male,30
1,0,female,25
1,1,male,48
1,1,female,63
1,0,male,39
1,1,female,53
1,0,male,71
1,0,male,47
1,1,female,18
1,1,female,24
1,1,female,26
1,1,male,80
1,0,male,24
1,1,female,50
1,1,female,32
1,0,male,36
1,1,male,37
1,1,female,47
1,1,male,26
1,1,female,42
1,1,female,29
1,0,male,25
1,1,male,25
1,1,female,19
1,1,female,35
1,1,male,28
1,0,male,45
1,1,male,40
1,1,female,30
1,1,female,58
1,0,male,42
1,1,female,45
1,1,female,22
1,0,male,41
1,0,male,48
1,1,female,44
1,1,female,59
1,1,female,60
1,1,female,41
1,0,male,45
1,1,male,42
1,1,female,53
1,1,male,36
1,1,female,58
1,0,male,33
1,0,male,28
1,0,male,17
1,1,male,11
1,1,female,14
1,1,male,36
1,1,female,36
1,0,male,49
1,0,male,36
1,1,female,76
1,0,male,46
1,1,female,47
1,1,male,27
1,1,female,33
1,1,female,36
1,1,female,30
1,1,male,45
1,0,male,27
1,1,female,26
1,1,female,22
1,0,male,47
1,1,female,39
1,0,male,37
1,1,female,64
1,1,female,55
1,0,male,70
1,1,female,36
1,1,female,64
1,0,male,39
1,1,female,38
1,1,male,51
1,1,male,27
1,1,female,33
1,0,male,31
1,1,female,27
1,1,male,31
1,1,female,17
1,1,male,53
1,1,male,4
1,1,female,54
1,0,male,50
1,1,female,27
1,1,female,48
1,1,female,48
1,1,male,49
1,0,male,39
1,1,female,23
1,1,female,38
1,1,female,54
1,0,female,36
1,1,male,36
1,0,male,30
1,1,female,24
1,1,female,28
1,1,female,23
1,0,male,19
1,0,male,64
1,1,female,60
1,1,female,30
1,1,male,50
1,1,male,43
1,1,female,22
1,1,male,60
1,1,female,48
1,0,male,37
1,1,female,35
1,0,male,47
1,1,female,35
1,1,female,22
1,1,female,45
1,0,male,24
1,1,male,49
1,0,male,71
1,1,male,53
1,1,female,19
1,0,male,38
1,1,female,58
1,1,male,23
1,1,female,45
1,0,male,46
1,1,male,25
1,1,female,25
1,1,male,48
1,1,female,49
1,0,male,45
1,1,female,35
1,0,male,40
1,1,male,27
1,1,female,24
1,0,male,55
1,1,female,52
1,0,male,42
1,0,male,55
1,1,female,16
1,1,female,44
1,1,female,51
1,0,male,42
1,1,female,35
1,1,male,35
1,1,male,38
1,1,female,35
1,1,female,38
1,0,female,50
1,1,male,49
1,0,male,46
1,0,male,50
1,0,male,32.5
1,0,male,58
1,0,male,41
1,1,male,42
1,1,female,45
1,1,female,39
1,1,female,49
1,1,female,30
1,1,male,35
1,0,male,42
1,1,female,55
1,1,female,16
1,1,female,51
1,0,male,29
1,1,female,21
1,0,male,30
1,1,female,58
1,1,female,15
1,0,male,30
1,1,female,16
1,0,male,19
1,1,female,18
1,1,female,24
1,0,male,46
1,0,male,54
1,1,male,36
1,0,male,28
1,0,male,65
1,0,male,44
1,1,female,33
1,1,female,37
1,1,male,30
1,0,male,55
1,0,male,47
1,0,male,37
1,1,female,31
1,1,female,23
1,0,male,58
1,1,female,19
1,0,male,64
1,1,female,39
1,1,female,22
1,0,male,65
1,0,male,28.5
1,0,male,45.5
1,0,male,23
1,0,male,29
1,1,female,22
1,0,male,18
1,1,female,17
1,1,female,30
1,1,male,52
1,0,male,47
1,1,female,56
1,0,male,38
1,0,male,22
1,1,female,43
1,0,male,31
1,1,male,45
1,1,female,33
1,0,male,46
1,0,male,36
1,1,female,33
1,0,male,55
1,1,female,54
1,0,male,33
1,1,male,13
1,1,female,18
1,1,female,21
1,0,male,61
1,1,female,48
1,1,female,24
1,1,female,35
1,1,female,30
1,1,male,34
1,1,female,40
1,1,male,35
1,0,male,50
1,1,female,39
1,1,male,56
1,1,male,28
1,0,male,56
1,0,male,56
1,0,male,24
1,1,female,18
1,1,male,24
1,1,female,23
1,1,male,6
1,1,male,45
1,1,female,40
1,0,male,57
1,1,male,32
1,0,male,62
1,1,male,54
1,1,female,43
1,1,female,52
1,1,female,62
1,0,male,67
1,0,female,63
1,0,male,61
1,1,female,48
1,1,female,18
1,0,male,52
1,1,female,39
1,1,male,48
1,0,male,49
1,1,male,17
1,1,female,39
1,1,male,31
1,0,male,40
1,0,male,61
1,0,male,47
1,1,female,35
1,0,male,64
1,1,female,60
1,0,male,60
1,0,male,54
1,0,male,21
1,1,female,55
1,1,female,31
1,0,male,57
1,1,female,45
1,0,male,50
1,0,male,27
1,1,female,50
1,1,female,21
1,0,male,51
1,1,male,21
1,1,female,31
1,0,male,62
1,1,female,36
2,0,male,30
2,1,female,28
2,0,male,30
2,0,male,18
2,0,male,25
2,0,male,34
2,1,female,36
2,0,male,57
2,0,male,18
2,0,male,23
2,1,female,36
2,0,male,28
2,0,male,51
2,1,male,32
2,1,female,19
2,0,male,28
2,1,male,1
2,1,female,4
2,1,female,12
2,1,female,36
2,1,male,34
2,1,female,19
2,0,male,23
2,0,male,26
2,0,male,42
2,0,male,27
2,1,female,24
2,1,female,15
2,0,male,60
2,1,female,40
2,1,female,20
2,0,male,25
2,1,female,36
2,0,male,25
2,0,male,42
2,1,female,42
2,1,male,0.8333
2,1,male,26
2,1,female,22
2,1,female,35
2,0,male,19
2,0,female,44
2,0,male,54
2,0,male,52
2,0,male,37
2,0,female,29
2,1,female,25
2,1,female,45
2,0,male,29
2,1,female,28
2,0,male,29
2,0,male,28
2,1,male,24
2,1,female,8
2,0,male,31
2,1,female,31
2,1,female,22
2,0,female,30
2,0,male,21
2,1,male,8
2,0,male,18
2,1,female,48
2,1,female,28
2,0,male,32
2,0,male,17
2,0,male,29
2,1,female,24
2,0,male,25
2,0,male,18
2,1,female,18
2,1,female,34
2,0,male,54
2,1,male,8
2,0,male,42
2,1,female,34
2,1,female,27
2,1,female,30
2,0,male,23
2,0,male,21
2,0,male,18
2,0,male,40
2,1,female,29
2,0,male,18
2,0,male,36
2,0,female,38
2,0,male,35
2,0,male,38
2,0,male,34
2,1,female,34
2,0,male,16
2,0,male,26
2,0,male,47
2,0,male,21
2,0,male,21
2,0,male,24
2,0,male,24
2,0,male,34
2,0,male,30
2,0,male,52
2,0,male,30
2,1,male,0.6667
2,1,female,24
2,0,male,44
2,1,female,6
2,0,male,28
2,1,male,62
2,0,male,30
2,1,female,7
2,0,male,43
2,1,female,45
2,1,female,24
2,1,female,24
2,0,male,49
2,1,female,48
2,1,female,55
2,0,male,24
2,0,male,32
2,0,male,21
2,0,female,18
2,1,female,20
2,0,male,23
2,0,male,36
2,1,female,54
2,0,male,50
2,0,male,44
2,1,female,29
2,0,male,21
2,1,male,42
2,0,male,63
2,0,female,60
2,0,male,33
2,1,female,17
2,0,male,42
2,1,female,24
2,0,male,47
2,0,male,24
2,0,male,22
2,0,male,32
2,1,female,23
2,0,male,34
2,1,female,24
2,0,female,22
2,0,male,35
2,1,female,45
2,0,male,57
2,0,male,31
2,0,female,26
2,0,male,30
2,1,female,1
2,1,female,3
2,0,male,25
2,1,female,22
2,1,female,17
2,1,female,34
2,0,male,36
2,0,male,24
2,0,male,61
2,0,male,50
2,1,female,42
2,0,female,57
2,1,male,1
2,0,male,31
2,1,female,24
2,0,male,30
2,0,male,40
2,0,male,32
2,0,male,30
2,0,male,46
2,1,female,13
2,1,female,41
2,1,male,19
2,0,male,39
2,0,male,48
2,0,male,70
2,0,male,27
2,0,male,54
2,0,male,39
2,0,male,16
2,0,male,62
2,0,male,32.5
2,1,female,14
2,1,male,2
2,1,male,3
2,0,male,36.5
2,0,male,26
2,0,male,19
2,0,male,28
2,1,male,20
2,1,female,29
2,0,male,39
2,1,male,22
2,0,male,23
2,1,male,29
2,0,male,28
2,1,female,50
2,0,male,19
2,0,male,41
2,1,female,21
2,1,female,19
2,0,male,43
2,1,female,32
2,0,male,34
2,1,male,30
2,0,male,27
2,1,female,2
2,1,female,8
2,1,female,33
2,0,male,36
2,0,male,34
2,1,female,30
2,1,female,28
2,0,male,23
2,1,male,0.8333
2,1,male,3
2,1,female,24
2,1,female,50
2,0,male,19
2,1,female,21
2,0,male,26
2,0,male,25
2,0,male,27
2,1,female,25
2,1,female,18
2,1,female,20
2,1,female,30
2,0,male,59
2,1,female,30
2,0,male,35
2,1,female,40
2,0,male,25
2,0,male,41
2,0,male,25
2,0,male,18.5
2,0,male,14
2,1,female,50
2,0,male,23
2,1,female,28
2,1,female,27
2,0,male,29
2,0,female,27
2,0,male,40
2,1,female,31
2,0,male,30
2,0,male,23
2,1,female,31
2,1,female,12
2,1,female,40
2,1,female,32.5
2,0,male,27
2,1,female,29
2,1,male,2
2,1,female,4
2,1,female,29
2,1,female,0.9167
2,1,female,5
2,0,male,36
2,1,female,33
2,0,male,66
2,1,male,31
2,1,female,26
2,0,female,24
3,0,male,42
3,0,male,13
3,0,male,16
3,1,female,35
3,1,female,16
3,1,male,25
3,1,male,20
3,1,female,18
3,0,male,30
3,0,male,26
3,0,female,40
3,1,male,0.8333
3,1,female,18
3,1,male,26
3,0,male,26
3,0,male,20
3,0,male,24
3,0,male,25
3,0,male,35
3,0,male,18
3,0,male,32
3,1,female,19
3,0,male,4
3,0,female,6
3,0,female,2
3,1,female,17
3,0,female,38
3,0,female,9
3,0,female,11
3,0,male,39
3,1,male,27
3,0,male,26
3,0,female,39
3,0,male,20
3,0,male,26
3,0,male,25
3,0,female,18
3,0,male,24
3,0,male,35
3,0,male,5
3,0,male,9
3,1,male,3
3,0,male,13
3,1,female,5
3,0,male,40
3,1,male,23
3,1,female,38
3,1,female,45
3,0,male,21
3,0,male,23
3,0,female,17
3,0,male,30
3,0,male,23
3,1,female,13
3,0,male,20
3,0,male,32
3,1,female,33
3,1,female,0.75
3,1,female,0.75
3,1,female,5
3,1,female,24
3,1,female,18
3,0,male,40
3,0,male,26
3,1,male,20
3,0,female,18
3,0,female,45
3,0,female,27
3,0,male,22
3,0,male,19
3,0,male,26
3,0,male,22
3,0,male,20
3,1,male,32
3,0,male,21
3,0,male,18
3,0,male,26
3,0,male,6
3,0,female,9
3,0,male,40
3,0,female,32
3,0,male,21
3,1,female,22
3,0,female,20
3,0,male,29
3,0,male,22
3,0,male,22
3,0,male,35
3,0,female,18.5
3,1,male,21
3,0,male,19
3,0,female,18
3,0,female,21
3,0,female,30
3,0,male,18
3,0,male,38
3,0,male,17
3,0,male,17
3,0,female,21
3,0,male,21
3,0,male,21
3,0,male,28
3,0,male,24
3,1,female,16
3,0,female,37
3,0,male,28
3,0,male,24
3,0,male,21
3,1,male,32
3,0,male,29
3,0,male,26
3,0,male,18
3,0,male,20
3,1,male,18
3,0,male,24
3,0,male,36
3,0,male,24
3,0,male,31
3,0,male,31
3,1,female,22
3,0,female,30
3,0,male,70.5
3,0,male,43
3,0,male,35
3,0,male,27
3,0,male,19
3,0,male,30
3,1,male,9
3,1,male,3
3,1,female,36
3,0,male,59
3,0,male,19
3,1,female,17
3,0,male,44
3,0,male,17
3,0,male,22.5
3,1,male,45
3,0,female,22
3,0,male,19
3,1,female,30
3,1,male,29
3,0,male,0.3333
3,0,male,34
3,0,female,28
3,0,male,27
3,0,male,25
3,0,male,24
3,0,male,22
3,0,male,21
3,0,male,17
3,1,male,36.5
3,1,female,36
3,1,male,30
3,0,male,16
3,1,male,1
3,1,female,0.1667
3,0,male,26
3,1,female,33
3,0,male,25
3,0,male,22
3,0,male,36
3,1,female,19
3,0,male,17
3,0,male,42
3,0,male,43
3,0,male,32
3,1,male,19
3,1,female,30
3,0,female,24
3,1,female,23
3,0,male,33
3,0,male,65
3,1,male,24
3,0,male,23
3,1,female,22
3,0,male,18
3,0,male,16
3,0,male,45
3,0,male,39
3,0,male,17
3,0,male,15
3,0,male,47
3,1,female,5
3,0,male,40.5
3,0,male,40.5
3,0,male,18
3,0,male,26
3,0,female,21
3,0,female,9
3,0,male,18
3,0,male,16
3,0,female,48
3,0,male,25
3,0,male,22
3,1,female,16
3,1,male,9
3,0,male,33
3,0,male,41
3,1,female,31
3,0,male,38
3,0,male,9
3,0,male,1
3,0,male,11
3,0,female,10
3,0,female,16
3,0,male,14
3,0,male,40
3,0,female,43
3,0,male,51
3,0,male,32
3,0,male,20
3,0,male,37
3,0,male,28
3,0,male,19
3,0,female,24
3,0,female,17
3,0,male,28
3,1,female,24
3,0,male,20
3,0,male,23.5
3,0,male,41
3,0,male,26
3,0,male,21
3,1,female,45
3,0,male,25
3,0,male,11
3,1,male,27
3,0,female,18
3,1,female,26
3,0,female,23
3,1,female,22
3,0,male,28
3,0,female,28
3,1,female,2
3,1,female,22
3,0,male,43
3,0,male,28
3,1,female,27
3,0,male,42
3,0,male,30
3,0,female,27
3,0,female,25
3,1,male,29
3,1,male,21
3,0,male,20
3,0,male,48
3,0,male,17
3,0,male,34
3,1,male,26
3,0,male,22
3,0,male,33
3,0,male,31
3,0,male,29
3,1,male,4
3,1,female,1
3,0,male,49
3,0,male,33
3,0,male,19
3,1,female,27
3,0,male,23
3,1,male,32
3,0,male,27
3,0,female,20
3,0,female,21
3,1,male,32
3,0,male,17
3,0,male,21
3,0,male,30
3,1,male,21
3,0,male,33
3,0,male,22
3,1,female,4
3,1,male,39
3,0,male,18.5
3,0,male,34.5
3,0,male,44
3,0,female,22
3,0,male,26
3,1,female,4
3,1,male,29
3,1,female,26
3,0,female,1
3,0,male,18
3,0,female,36
3,1,male,25
3,0,female,37
3,1,female,22
3,1,male,26
3,0,male,29
3,0,male,29
3,0,male,22
3,1,male,22
3,0,male,32
3,0,male,34.5
3,0,male,36
3,0,male,39
3,0,male,24
3,0,female,25
3,0,female,45
3,0,male,36
3,0,female,30
3,1,male,20
3,0,male,28
3,0,male,30
3,0,female,26
3,0,male,20.5
3,1,male,27
3,0,male,51
3,1,female,23
3,1,male,32
3,1,male,24
3,0,male,22
3,0,male,29
3,0,female,30.5
3,0,male,35
3,0,male,33
3,1,female,15
3,0,female,35
3,0,male,24
3,0,female,19
3,0,male,55.5
3,1,male,21
3,0,male,24
3,0,male,21
3,0,male,28
3,0,male,25
3,1,male,6
3,1,female,27
3,0,male,34
3,1,female,24
3,0,male,18
3,0,male,22
3,1,female,15
3,1,female,1
3,1,male,20
3,1,female,19
3,0,male,33
3,1,male,12
3,1,female,14
3,0,female,29
3,0,male,28
3,1,female,18
3,1,female,26
3,0,male,21
3,0,male,41
3,1,male,39
3,0,male,21
3,0,male,28.5
3,1,female,22
3,0,male,61
3,0,male,23
3,1,female,22
3,1,male,9
3,0,male,28
3,0,male,42
3,0,female,31
3,0,male,28
3,1,male,32
3,0,male,20
3,0,female,23
3,0,female,20
3,0,male,20
3,0,male,16
3,1,female,31
3,0,male,2
3,0,male,6
3,0,female,3
3,0,female,8
3,0,female,29
3,0,male,1
3,0,male,7
3,0,male,2
3,0,male,16
3,0,male,14
3,0,female,41
3,0,male,21
3,0,male,19
3,0,male,32
3,0,male,0.75
3,0,female,3
3,0,female,26
3,0,male,21
3,0,male,25
3,0,male,22
3,1,male,25
3,0,male,24
3,0,female,28
3,0,male,19
3,0,male,25
3,0,female,18
3,1,male,32
3,0,male,17
3,0,male,24
3,0,male,38
3,0,male,21
3,0,male,10
3,0,male,4
3,0,male,7
3,0,male,2
3,0,male,8
3,0,female,39
3,0,female,22
3,0,male,35
3,0,male,50
3,0,female,47
3,0,female,2
3,0,male,18
3,0,female,41
3,0,male,50
3,0,male,16
3,0,male,25
3,0,male,38.5
3,0,male,14.5
3,0,male,24
3,1,female,21
3,0,male,39
3,1,female,1
3,1,female,24
3,1,female,4
3,1,male,25
3,0,male,20
3,0,male,24.5
3,1,male,29
3,0,male,22
3,0,male,40
3,0,male,21
3,1,female,18
3,0,male,4
3,0,male,10
3,0,female,9
3,0,female,2
3,0,male,40
3,0,female,45
3,0,male,19
3,0,male,30
3,0,male,32
3,0,male,33
3,1,female,23
3,0,male,21
3,0,male,60.5
3,0,male,19
3,0,female,22
3,1,male,31
3,0,male,27
3,0,female,2
3,0,female,29
3,1,male,16
3,1,male,44
3,0,male,25
3,0,male,74
3,1,male,14
3,0,male,24
3,1,male,25
3,0,male,34
3,1,male,0.4167
3,1,female,16
3,0,male,32
3,0,male,30.5
3,0,male,44
3,1,male,25
3,1,male,7
3,1,female,9
3,1,female,29
3,0,male,36
3,1,female,18
3,1,female,63
3,0,male,11.5
3,0,male,40.5
3,0,female,10
3,0,male,36
3,0,female,30
3,0,male,33
3,0,male,28
3,0,male,28
3,0,male,47
3,0,female,18
3,0,male,31
3,0,male,16
3,0,female,31
3,1,male,22
3,0,male,20
3,0,female,14
3,0,male,22
3,0,male,22
3,0,male,32.5
3,1,female,38
3,0,male,51
3,0,male,18
3,0,male,21
3,1,female,47
3,0,male,28.5
3,0,male,21
3,0,male,27
3,0,male,36
3,0,male,27
3,1,female,15
3,0,male,45.5
3,0,female,14.5
3,0,male,26.5
3,0,male,27
3,0,male,29